X,Y,bairro_X,bairro_Y,custo,caminho
Rua Padre Inglês 257,R. Erundina N. de Araújo 964,Boa Vista,Corrego do Jenipapo,5,Boa Vista -> Gracas -> Tamarineira -> Casa Amarela -> Nova Descoberta -> Corrego do Jenipapo
R. Dois Irmãos 1113,R. Padre Lemos 94,Dois Irmaos,Casa Amarela,3,Dois Irmaos -> Apipucos -> Monteiro -> Casa Amarela
Rua Hoel Sette 144,Av. Gov. Agamenon Magalhães 2132,Jaqueira,Derby,2,Jaqueira -> Gracas -> Derby
R. Marquês de Valença 50,R. Badejo 32,Boa Viagem,Brasilia Teimosa,2,Boa Viagem -> Pina -> Brasilia Teimosa
Av. José Américo de Almeida 811,Estrada do Passarinho 2198,Macaxeira,Passarinho,3,Macaxeira -> Nova Descoberta -> Brejo da Guabiraba -> Passarinho
