bairro_origem,bairro_destino,logradouro,observação,peso
Derby,Madalena,R. Dr. Severino Pinheiro,,
Dois Irmãos,Sítio dos Pintos,Estr. dos Pintos,,
Caxangá,Dois Irmãos,Estr. Manuel de Medeiros,,
Dois Irmãos,Guabiraba,Estr. de Pau Ferro,,
Espinheiro,Graças,R. da Hora,,
Graças,Tamarineira,R. Cap. Sampaio Xavier,,
Graças,Jaqueira,R. do Futuro,,
Graças,Torre,R. Amélia,,
Graças,Madalena,R. Joaquim Nabuco,,
Jaqueira,Tamarineira,R. Padre Roma,,
Jaqueira,Parnamirim,R. Abelardo Carneiro Lobo,,
Jaqueira,Santana,R. Leonardo Bezerra Cavalcante,,
Jaqueira,Torre,R. João Tude de Melo,,
Iputinga,Monteiro,Pte. Eng. Jaime Gusmão,,
Monteiro,Poço,R. Jorge de Albuquerque,,
Parnamirim,Tamarineira,R. Sebastião Alves,,
Parnamirim,Santana,R. Joaquim Soares,,
Casa Amarela,Poço,R. Eng. Oscar Ferreira,,
Poço,Santana,R. Dr. Luiz Ribeiro Bastos,,
Cordeiro,Santana,Psa. Santana-Vila Santa Luzia,,
Santana,Torre,R. José Bonifácio,,
Caxangá,Sítio dos Pintos,R. Manuel de Medeiros,,
Alto José do Pinho,Tamarineira,R. Monte Horebe,,
Alto José Bonifácio,Morro da Conceição,R. Ipanema,,
Alto José Bonifácio,Alto José do Pinho,R. União da Vitória,,
Alto José do Pinho,Morro da Conceição,R. Descida da Macaiába,,
Alto José do Pinho,Mangabeira,R. Avenca,,
Alto Santa Terezinha,Água Fria,R. Ladeira de Pedra,,
Nova Descoberta,Vasco da Gama,R. Araguaina,,
Morro da Conceição,Vasco da Gama,R. Adalberto Guerra,,
Brejo da Guabiraba,Guabiraba,R. Sr. do Bonfim,,
Brejo da Guabiraba,Córrego do Jenipapo,R. Aracari,,
Brejo da Guabiraba,Nova Descoberta,R. Tupirambá,,
Brejo da Guabiraba,Passarinho,R. Santa Tereza,,
Brejo de Beberibe,Dois Unidos,R. Dr. Antônio da Rosa Borges,,
Brejo de Beberibe,Passarinho,R. Selma,,
